chunom,translation
然念宗廟大噐社稷重寄弗堪辭遜惟謹遵承,"nhiên niệm tông miếu đại khí, xã tắc trọng kí, phất kham từ tốn, duy cẩn tuân thừa"
朱𢧚吝矧圭𠊛,cho nên lẩn thẩn quê người
計朱实几肝,kể cho thực kẻ gan
錦皮群𠅍󰑼常𠸗𫢩,gấm bì còn mất là thường xưa nay
誨生汀克承其家有眾生千餘人妻阮氏,"hối sinh đinh khắc thừa kì gia, hữu chúng sinh thiên dư nhân, thê nguyễn thị"
𢪀典緣由拱󱋨唭,nghĩ đến duyên do cũng nực cười
春二月拜譚以𫎇爲太保戴拱辰冠,xuân nhị nguyệt bái đàm dĩ mông vi thái bảo đái củng thần quán
𡓃𥪝蒲育,sỏi trong bồ dục
氷傾𢖵景𢖵𠊛,bâng khuâng nhớ cảnh nhớ người
󱁲𨱽,nam binh đuổi dài
先朝土宇吏󰝡𥙩𧗱,tiên triều thổ vũ lại đem lấy về
待荘䝨右𤯭󰠃的弓,"ðãi trang hiền hữu, sánh cùng đích cung"
𦖑喑所㗂,nghe ầm thửa tiếng sấm
𢚸芇󰑼󰝸動𢚸悲傷,lòng nào là chẳng động lòng bi thương
是歲唐亡,thị tuế đường vong
,tặc thế phân phân vân vân bất tri thố thủ
阿鬟𨕭𠁑逐毛害䧺娘買蹺𡢐󰜋𠊛,a hoàn trên dưới giục mau. hãi hùng nàng mới theo sau một người
責𧗱分恨𧗱緣緣分共為情𢧚農浽,"trách về phận, hận về duyên. duyên phận cũng vì tình nên nông nỗi"
油油𦰟𦹵姅鐄姅撑,dàu dàu ngọn cỏ nửa vàng nửa xanh
娄娄𢬢哳𫛈𡥵共情,lau rau ríu rít cò con cũng tình
杰符世豪為司刑大夫御前學生黎霖為御史󰱑主簿,"kiệt, phù thế hào vi ti hình đại phu ngự tiền học sinh lê lâm vi ngự sử đài chủ bạ"
𤤰裕宗崩,vua dụ tông băng
𫌗,tã
甲寅六年莫改景曆爲光寶元年明嘉靖三十三年太師諒國公鄭檢移行營于汴上軍氣增銳四方賢士多來歸附〇,"giáp dần lục niên, mạc cải cảnh lịch vi quang bảo nguyên niên, minh gia tĩnh tam thập tam niên, thái sư lượng quốc công trịnh kiểm di hành doanh vu biện thượng, quân khí tăng nhuệ, tứ phương hiền sĩ đa lai quy phụ"
居掛孝,cư quải hiếu
罕𠀧𤾓两劍󰠳拱㐌皮本群𡢐時利,"hẳn ba trăm lạng kém đâu. cũng đà vừa vốn, còn sau thì lời"
梗簮釋撅𡦂排仃仃󱙻歲𠄩㝵双双,cành trâm thích quạt chữ bài. rành rành tên tuổi hai người song song
月娥𧡊𠳨疎戈,nguyệt nga thấy hỏi thưa qua
益稷有慚色自此我使至不復坐省堂矣,"ích tắc hữu tàm sắc, tự thử ngã sứ chí bất phục toạ tỉnh đường hĩ"
大司徒察見疏怒甚使人寫此二條上奏曰先帝以神等皆累世舊臣且與先帝間開十年出萬死以立朝廷,"đại tư đồ sát hiện sớ nộ thậm, sử nhân tả thử nhị điều, thượng tấu viết tiên đế dĩ thần đẳng giai luỵ thế cựu thần, thả dữ tiên đế gian khai thập niên xuất vạn tử dĩ lập triều đình"
井幕納汫斉農几初收吉底防美支,tỉnh mạc nắp giếng tày nong. kẻ xưa thu cất để phòng mở che
十三日黎榴黎盃等日夜急攻丘温城,"thập tam nhật, lê lựu, lê bôi đẳng nhật dạ cấp công khâu ôn thành"
弋弋𦀊𦼜𦿄,dặc dặc dây sắn sướng
翁寧打賊神符咹沛渃毒丐朐齊𣖖󰜏寧於茄爫齋咹沛𦧘𦟐𦛊齊󱗻囊,ông nành đánh giặc thần phù. ăn phải nước độc cái cu tày chày. bà nành ở nhà làm chay. ăn phải thịt mỡ l… tày mo nang
矯麻𢢆買渃𡽫牢停,kẻo mà thẹn mấy nước non sao đành
𬇚𪽝狹回坤且𩵜茹涓趣庶礙挼𤝋,ao bởi hẹp hòi khôn thả cá. nhà quen thú thứa ngại nuôi vằn
頭髻陵矜仍虎身閑六局某𫅷,đầu kế lăng căng những hổ. thân nhàn lục cục mỗ già
後追謚曰恭皇帝,"đãi đăng dung soán, vị phế vi cung vương, dữ hoàng thái hậu cụ ngộ hại"
二十日遣中軍同知黎伯琦中丞裴擒虎如明奏太平地方事,"nhị thập nhật, khiển trung quân đồng tri lê bá kì, trung thừa bùi cầm hổ như minh tấu thái bình địa phương sự"
後陳福兵進至擒󰱐敬恭第二男十二歳,"hậu trần phúc binh tiến chí, cầm hoạch kính cung đệ nhị nam thập nhị tuế"
黎熙鄭興黎明澈等作亂於乂安地方,"lê hi nhất tác hi trịnh hưng, lê minh triệt đẳng tác loạn ư nghệ an địa phương"
󰒂𫯰渚援民𡗶特恩,"nghĩa chồng chửa vẹn, dân trời được ơn"
堆些如芃花龿𫯳低𡢼帝劍埃𨕭𠁀,đôi ta như bông hoa nhài. chồng đây vợ đấy kém ai trên đời
香畑𣅘𣌋度身別兜舘楚楼秦遠󱖮,hương đèn khuya sớm độ thân. biết đâu quán sở lầu tần viển vông
𣈜𫢩𡥵丐𢀲寅󱯙茹拱㐌𨑮分調𢧚,ngày nay con cái lớn dần. cửa nhà cũng đã mươi phần đều nên
或曰此特寵之以爵非假之以權,"hoặc viết thử đặc sủng chi dĩ tước, phi giả chi dĩ quyền"
野蘭花翥貪秋,dã lan hoa sứ thơm tho
車吹隔𠇍吝𨗊拱蹺,xa xôi cách mấy lần đò cũng theo
尔󰅹𠄩𪧚恩情𫽄傷,nhẽ nào hai chữ ân tình chẳng thương
肆予頼主帥上輔德下爲民保國家益延厥緒嘉乃以王嗣文附眾武威敵安社稷寔大具功,"tứ dư lại chủ soái, thượng phụ đức, hạ vị dân, bảo quốc gia ích diên quyết tự, gia nãi dĩ vương tự, văn phụ chúng, vũ uy địch, an xã tắc thật đại cụ công"
冬十月加統領官副都将太保富郡公鄭根爲太傅鄭棟爲少尉,"đông, thập nguyệt, gia thống lĩnh quan phó đô tướng thái bảo phú quận công trịnh căn vi thái phó, trịnh đống vi thiếu uý"
襜霓怒左哉𫏾𫗄襖羽箕𤇥𤍊󰮂𦝄,xiêm nghê nọ tả tơi trước gió. áo vũ kia lấp ló trong trăng
化𧏵耒仕逴仙拱皮,hoá rồng rồi sẽ rước tiên cũng vừa
秋九月八日尊憲慈太后為太皇太后〇,"thu cửu nguyệt, bát nhật, tôn hiến từ thái hậu vi thái hoàng thái hậu"
傷之旦玉惜之旦香,thương gì đến ngọc tiếc gì đến hương
堆些如体𡥵蟳,đôi ta như thể con tằm
㐌决時行,đã quyết thì hành
帝乃退兵屯洛水設伏以待之,"đế nãi thoái binh đồn lạc thuỷ, thiết phục dĩ đãi chi"
娄󰑼𦊚󱝼𡳎喪調挄劎教𥄮唐𧼋𣦍,lâu la bốn phía vỡ tan. đều quăng gươm giáo nhắm đàng chạy ngay
仍賛總戎軍政治直󰒜常州府人初爲大理少卿,"nhưng tán tổng nhung quân chính trị trực lệ thường châu phủ nhân, sơ vi đại lí thiếu khanh"
何貪人之賂而不惜命乎,hà tham nhân chi lộ nhi bất tích mệnh hồ
𥘷占輕,trẻ xem khinh
占城授嚕大官,chiêm thành thụ rỗ đại quan
上不悅故是科不賜黄榜,"thượng bất duyệt, cố thị khoa bất tứ hoàng bảng"
賜阮庶阮惟時黎弼四等進士出身阮克寬阮儉等同進士出身,"tứ nguyễn thứ, nguyễn duy thì, lê bật tứ đẳng tiến sĩ xuất thân nguyễn khắc khoan, nguyễn kiệm đẳng đồng tiến sĩ xuất thân"
外軒兎㐌𡽫兑吟𦎛,ngoài hiên thỏ đã non đoài ngậm gương
賜阮秉謙裴克篤阮承休等進士及第阮寅亮等七人進士出身阮重光等二十二人同進士出身,"tứ nguyễn bỉnh khiêm, bùi khắc đốc, nguyễn thừa hưu đẳng tiến sĩ cập đệ, nguyễn dần lượng đẳng thất nhân tiến sĩ xuất thân, nguyễn trùng quang đẳng nhị thập nhị nhân đồng tiến sĩ xuất thân"
會試天下󰁮人,hội thí thiên hạ cử nhân
訓反歸于莫,huấn phản quy vu mạc
竹床󰑼種強牟,trúc sàng là chõng càng mầu
𠲖𠊚保养防筭浽夷,e người bảo dưỡng phòng toan nỗi gì
遣行遣司刑部上書尹󰘊憲如元爭辨,khiến hành khiển ti hình bộ thượng thư doãn bang hiến như nguyên tranh biện
眾保押遣𨖲𡾵,chúng bầu ép khiến lên ngôi
𢩽撴喭𠰚仙麻句,dẩy dun ngán nhẽ tiên mà cú
待英沒𪨃姑娘底英𠫾及󰠃𨖅轉渡,đợi anh một chút cô nàng. để anh đi kịp cùng sang chuyến đò
𠀧升󰜋畝税,ba thưng một mẫu thuế điền
𫗃急咍羅𦹵勁濁饒易別唐光,gió gấp hay là cỏ cứng. đuốc nhiều dễ biết đường quang
勸昆󰊩者󰣑𣆐斈行,khuyên con gióng giả sớm trưa học hành
棱儒波聖固儉之麻女底紅吟朱𤝞𢪮,rừng nho bể thánh có hiếm chi mà nỡ để hồng ngâm cho chuột móc
時󰠐鐄𥒥麻料貝身,thì đem vàng đá mà liều với thân
㗂󰠳如㗂鍾󱭐,tiếng đâu như tiếng chuông mèn
是歲齊亡,thị tuế tề vong
况東䦕乎討未為甚失矣,huống đông quan hồ thảo vị vi thậm thất hĩ
十一月大赦改元,"thập nhất nguyệt, đại xá, cải nguyên"
三十六日上親坐丹扆,"tam thập lục nhật, thượng thân toạ đan ỷ"
𣷭湖淶𣼽溟濛,bể hồ lai láng mênh mông
𪀄塊籠𢧚得趣𣘃外𡊱買鮮牟,chim khỏi lồng nên được thú. cây ngoài chậu mới tươi màu
撣𬕌妾駭吀𠳐𥯌嫩𨇜𦲿𣠖撣𢧚𬕌,"đan sàng thiếp hãy xin vâng. tre non đủ lá, chửa đan nên sàng"
鑷子葉瑟底和杜,nhiếp tử nhíp sắt để hoà nhổ râu
翁杜科㝹於渃󰅹,"ông đỗ khoa nao, ở nước nào"
排詩詠丐火󰌎燉渃,bài thơ vịnh cái hoả lò đun nước
每日晨入朝則於永昌門尚輦局次歇審觀奏簿以僃陳奏,"mỗi nhật thần nhập triều, tắc ư vĩnh xương môn, thượng liễn cục, thứ yết thẩm quan tấu bạ, dĩ bị trần tấu"
季犛以奉世所部大隊副三十人斬之,quý li dĩ phụng thế sở bộ đại đội phó tam thập nhân trảm chi
想娘箕汝𤽗拱朋𤽗汝娘箕,tưởng nàng kia nhớ ngươi cũng bằng ngươi nhớ nàng kia
鱣鯪刁釰鯢鯨刁花,"chiên lăng đeo nhẫn, nghê kình đeo hoa"
𨧆檜,bửa củi
事尼㐌外十年,sự này đã ngoại thập niên
㝵𠬠尼𠳨𠬠尼,người một nơi hỏi một nơi
𠱋埃𬥓兜𧶭兜夢𨑮𣎃𫤯𧥃𤛠辰𧗱,dù ai bán đâu buôn đâu. mồng mười tháng tám chọi trâu thì về
夏四月帝由菩提草殿就居東京城,"hạ tứ nguyệt, đế do bồ đề thảo điện tựu cư đông kinh thành"
戊戌十二年十一月以後順宗光泰元年明洪武二十一年夏五月以陳杜為宫令,cố thánh nhân tất biện chi ư tảo nhi cẩn lí sương chi tiệm yên hồ thị soán trần phi đặc nghệ hoàng bất cẩn kì tiệm nhi hựu khải kì đoan dã
恩𢚸君子詫之𧵑淶,ơn lòng quân tử sá gì của rơi
詩書實意寶𠦳𠁀,thi thư thực ấy báu ngàn đời
榜眼鄭鐵長探花郎朱添威為中書舍人進士阮伯驥為翰林知制誥阮荗陽執中為起居舍人范德侃阮廷錫阮貽厥鄧宣爲翰林待制裴福阮文質潘歡阮叔通為國史院同修史附榜段仁公等十三人充御,"bảng nhãn trịnh thiết trường, thám hoa lang chu thiêm uy vi trung thư xá nhân tiến sĩ nguyễn bá ký vi hàn lâm tri chế cáo nguyễn mậu dương chấp trung vi khởi cư xá nhân phạm đức khản, nguyễn đình tích, nguyễn di quyết, đặng tuyên vi hàn lâm đãi chế bùi phúc, nguyễn văn chất, phan hoan, nguyễn thúc thông vi quốc sử viện đồng tu sử phụ bảng đoàn nhân công đẳng thập tam nhân sung ngự"
几𧵆納卷几賖𨕭唐,kẻ gần nộp quyển kẻ xa lên đường
中使以其奏帝令以犢祭之御舟乃進,trung sứ dĩ kì tấu đế lệnh dĩ độc tế chi ngự chu nãi tiến
命侍御史阮永錫復職,mệnh thị ngự sử nguyễn vĩnh tích phục chức
脩治京城西邉墻,tu trị kinh thành tây biên tường
爲些𠻞喫朱㝵󰇾揚,vì ta khăng khít cho người dở dang
冬十月初六日定考試隊長例一應事精米典牧種菜屯田蚕桑各局司所隊吏見鈌户部考試各局司所人諳曉書算中者充之,đông thập nguyệt sơ lục nhật định khảo thí đội trưởng lệ nhất ứng sự tinh mễ điển mục chủng thái đồn điền tàm tang các cục ti sở đội lại kiến khuyết hộ bộ khảo thí các cục ti sở nhân am hiểu thư toán trúng giả sung chi
𢬣𨁮𡎟𥒥如𬒂砬𥔧,tay lần hang đá như phên chập chồng
牢群於帝闭徐庒𦋦,sao còn ở đấy bấy giờ chẳng ra
賜阮仁瞻等三人進士出身黎文通同進士出身,"tứ nguyễn nhân chiêm đẳng tam nhân tiến sĩ xuất thân, lê văn thông đồng tiến sĩ xuất thân"
其以明年為慎德元年,kì dĩ minh niên vi thận đức nguyên niên
甲戌二年,"giáp tuất nhị niên mạc, sùng khang cửu niên"
悉因縁廊娘廊娜,dứt nhân duyên làng nàng làng nạ
女謁行而私門啓󰊹其令有司軍人等各盡乃心條其可以回天心弭災變者直言無隐以匡朕之不逮,"nữ yết hành nhi tư môn khải dư? kì lệnh hữu tư quân nhân đẳng các tận nãi tâm điều kì khả dĩ hồi thiên tâm, nhĩ tai biến giả, trực ngôn, vô ẩn, dĩ khuông trẫm chi bất đãi"
春正月命武將統領兵象杜,"xuân, chính nguyệt, mệnh vũ tướng thống lĩnh binh tượng đỗ"
六月論敗衂,"lục nguyệt, luận bại nục"
㤕㝵𠇮泊乙𢚸庄涓,xót người mệnh bạc ắt lòng chẳng quên
親属有嫌其職之卑者威簡曰爾軰癡甚,thân thuộc hữu hiềm kì chức chi ti giả uy giản viết nhĩ bối si thậm
意埃吲玉誓鐄,ấy ai dặn ngọc thề vàng
芸󱉁拱𡗋功夫,nghề chơi cũng lắm công phu
唭浪㐌世時𢧚,cười rằng đã thế thì nên
𠤆󱳮闷𡞕𠤆煩闷𡥵,"chớ lo muộn vợ, chớ phiền muộn con"
玉群隐𩃳𣘃松,ngọc còn ẩn bóng cây tùng
𨻫西𧡊渃,lũng tây thấy nước dường uốn khúc
剔𠠚,dịch xỉa
𡘮堆,xảy cưu chưng lo mất đôi
冬十一月壬午朔日食,"đông thập nhất nguyệt, nhâm ngọ sóc, nhật thực"
𩙌󰠲鄭幅甍甍,gió đâu sịch bức mành mành
欺陣𫗄𢲣𢯦梗碧𦖑咦嗂㗂𫫗外賖,khi trận gió lung lay cành biếc. nghe rì rào tiếng mách ngoài xa
由是得入重䦕直進三日夜到,"do thị, đắc nhập trùng quan trực tiến, tam nhật dạ đáo"
至是還明帝賜少穎文綺衣及鈔并勑諭我國其畧云立後事重湏合國人之心非得獨擅可同耆老具陳氏嫡孫之實奏來以憑頒詔𠕋封,"chí thị hoàn, minh đế tứ thiếu dĩnh văn ỷ y cập sao tịnh sắc dụ ngã quốc kì lược vân lập hậu sự trọng, tu hợp quốc nhân chi tâm, phi đắc độc thiện, khả đồng kì lão, cụ trần thị đích tôn chi thực, tấu lai dĩ bằng ban chiếu sách phong"
夜則用两虎金牌亦有令旗銅牌,"dạ tắc dụng lưỡng hổ kim bài, diệc hữu lệnh kì đồng bài"
壬申八年八年,"nhâm thân, bát niên bát niên"
尚阮景仙誇咣,thằng nguyễn cảnh tiên khoe khoang
鄭松使太尉阮黄統兵攻破于武崖平之乃引兵還,"trịnh tùng sử thái uý nguyễn hoàng thống binh công phá vu vũ nhai, bình chi nãi dẫn binh hoàn"
帝聞失守自度不支乃引軍回乂安復圖進取,"đế văn thất thủ, tự độ bất chi nãi dẫn quân hồi nghệ an phục đồ tiến thủ"
𣈜春𤷱痗𦟐紅配坡,"ngày xuân mòn mỏi, má hồng phôi pha"
乃者儂寇克平占城來附洞産黄金地湧白銀意者何以致之歟抑將有以警之歟朕甚懼焉何足以崇美名尊顕號,"nãi giả, nùng khấu khắc bình, chiêm thành lai phó, động sản hoàng kim, địa dũng bạch ngân, ý giả hà dĩ trí chi dư? ức tương hữu dĩ cảnh chi dư? trẫm thậm cụ yên, hà túc dĩ sùng mĩ danh tôn hiển hiệu"
夫極治者亂生而履霜者氷至,"phù cực trị giả loạn sinh, nhi lý sương giả băng chí"
歸身蓮肉浸󰝂𠫾,"quy thân, liên nhục tẩm mang đi"
完全撰援,hoàn toàn trọn vẹn
簡定帝在位二年紀元者一,giản định đế tại vị nhị niên kỷ nguyên giả nhất
揭愁駭強爫清著𢧚底露風声𫥨外,cất sầu hãy gắng làm thinh. chớ nên để lộ phong thanh ra ngoài
𠊚苓𦬑補𠊚𤴬牢仃,người lành nỡ bỏ người đau sao đành
醜虎𥙩󰐢𦓡𩂏𥙩𥵛𦓡提𥙩斗𦓡𢫝,"xấu hổ lấy rổ mà che. lấy nong mà đè, lấy đấu mà đong"
至河中駐營于河間两岸煙火連󰱥十里,"chí hà trung trú doanh vu hà gian lưỡng ngạn, yên hoả liên kế thập lí"
空特悶唭㖇,buồn cười nhỉ
准山房拯固𪲣役侵𠓨店󰋇更殘,chốn sơn phòng chẳng có mỗ việc. xâm vào đêm mấy canh tàn
只𬅳𬆄仍亊箕怒𫥨抃𠓨𠹳,chỉ muốn ngay nhưng sự kia nọ ra bện vào cợt
𨀈塘𣈜没󱨺󰭳,bước đường ngày một lạ lùng
蹺蹎英𣞻跢奔㙁󱘠𦝇姑𦊛𥙩税渡,theo chân anh bưởi đi buôn muối. bám đít cô tư lấy thuế đò
