Codepoint,Character,kDefinition
U+3611,㘑,"to curse, to swear and oath, incantations"
U+3613,㘓,"prolix speech, (same as 讕) to make a false charge; to lay a false accusation"
U+3614,㘔,"eat, to bite, to gnaw, (a dialect) usually at the end of a sentence; tone (of one's speech)"
U+3615,㘕,"(non-classical form of 喊) (standard form of 婪) to call; to halloo, covetous; avaricious"
U+3616,㘖,to make a disturbance; to quarrel; to wrangle
U+3617,㘗,whisper; to whistle
U+3619,㘙,to groan; to moan
U+361A,㘚,angry appearance; to look furious; the roaring of a tiger
U+361B,㘛,"(non-classical form of 嵌) a deep valley, piece of music in minority group"
U+361C,㘜,"(non-classical form of 雔) a kind of silkworm, pair of birds; couple; companion; to match, corresponding, proper"
U+361D,㘝,"to take in; to absorb, (non-classical form of 罱) a kind of spring fishing net; a kind of small net with a handle used to catch fishes or birds"
U+361E,㘞,sound of yelling while towing a boat; (Sanskrit) to call out
U+3620,㘠,to close; to stop up; to obstruct
U+3621,㘡,(same as 柙) a pen for wild beasts; a cage for prisoners
U+3622,㘢,a round cave; a round hole
U+3623,㘣,"compasses, (same as 圓) round; circular"
U+3624,㘤,circle of the moving water
U+3625,㘥,"to inveigle; to decoy, a decoy-bird; a go-between; a medium"
U+3626,㘦,"wall made of soil, used in name of places"
U+3627,㘧,"(same as 序) precedence, order, orderly, the east and west walls of the parlor"
U+3628,㘨,"deep; profound, empty; hollow, quite; peaceful"
U+3629,㘩,to mate; to pair
U+362A,㘪,"(same as 耗) to waste, to destroy, to diminish; hence it came to mean, a rat, heedless; careless; inattentive; rough and coarse"
U+362B,㘫,"(a variant of 阱) to fall into a well, a pit; a pitfall; a hole; a gully, to involve; to entrap"
U+362C,㘬,"(same as 坳) a hollow in the ground; a cavity, (same as 物) matter; substance, all living creatures, things in general, the affairs of this world, things or matters outside oneself, others, goods, the Tibetan classical text means Buddha"
U+362D,㘭,"a hollow in the ground; a cavity, undulating"
U+3630,㘰,(interchangeable 斟) name of an old country; used in name of a place
U+3631,㘱,(same as 坍) to fall into ruins; to collapse
U+3632,㘲,"a cove; a bay, a bend or nook in the hills, the outside part of a curved bank; the curve of a bow"
U+3633,㘳,(same as 丘) a hillock or mound
U+3634,㘴,"(same as 坐) to sit, a seat"
U+3635,㘵,name of a place; in Fujian Province
U+3636,㘶,"(ancient form of 桀) a hen-roost, cruel, the last ruler of the Xia Dynasty"
U+3637,㘷,"(same as 艾) Mugwort, artemisia or any plant which produces moxa punk, general name for plants like mint"
U+3638,㘸,"(same as 葬) to bury, (ancient form of 坐) to sit, a seat"
U+3639,㘹,"(non-classical form of 垐) to spread soil on the road, pave the road with soil, (ancient form of 堲) sickness; illness; disease"
U+363A,㘺,"cultivated land; to till lands, a clod of earth"
U+363B,㘻,"to stop up; to close against; to restrain, to dam a stream and change its direction, to conceal a mound"
U+363D,㘽,"to cultivate, plant; to care for plants"
U+363F,㘿,"(same as 涅) to fill up, as a hole, black mud; slime, to stop up; to block; to cork"
U+3640,㙀,"a vegetable-plot, to plough; to till lands, among dikes and fields"
U+3641,㙁,"dust; dirt; a smear, (same as 牧) name of a place in old times"
U+3642,㙂,"wall; fence, (interchangeable with 兑) a hole"
U+3643,㙃,a cavity; hole of a mound or an altar of earth
U+3644,㙄,"below; under; low, (same as 陛) the steps to the throne, to ascend steps"
U+3645,㙅,"(same as 堡) a walled village, an earth-work; a petty military station, subdivision of a township; a ward in a city"
U+3647,㙇,place trampled by cattle and horses
U+3648,㙈,name of a place in Shanxi province
U+3649,㙉,"(same as 腆) prosperous; affluence, good; virtuous, to make strong -- as liquors"
U+364A,㙊,"(same as 場) an area of level ground; an open space, a threshing floor, arena for drill, etc. a place, to pile a sand-hills"
U+364D,㙍,name of a place in today's Guangdong Province
U+364E,㙎,"breach of a tank; pond, (a dialect) to cover up; to conceal; to hide; to bury"
U+364F,㙏,"caverns; a grotto, a cellar, a cave-dwelling, to make a cave -- for dwelling"
U+3650,㙐,"to move, to hang down; to let fall, (same as 垛) a target, a battlement, to add up; to pile up"
U+3651,㙑,"(same as 宇) the canopy of heaven; space, to cover; to shelter"
U+3652,㙒,"(same as 野) wild; uncultivated; a wilderness, rustic, savage"
U+3653,㙓,"earth; land; soil; ground; territory, opium"
U+3654,㙔,"(non-classical form of 韓) a fence, name of a star, a small feudal State, old name for Korea"
U+3655,㙕,"(same as 塊) a lump, a piece of, a fraction"
U+3657,㙗,"(same as 塊) a lump of earth; a lump, rugged; uneven"
U+3658,㙘,used in naming a place
U+3659,㙙,"to smear; to daub, to erase; to blot out, mud, mire, to plaster a wall with mud"
U+365A,㙚,red colored hard and solid mud (soil; clay; earth)
U+365B,㙛,a person's name in old times
U+365C,㙜,"(ancient and corrupted form of 臺) a lookout, a tower, a terrace, a platform, a stage"
U+365D,㙝,a dike; a barrier; an embankment
U+365E,㙞,a small mountain; a hill
U+365F,㙟,"(a dialect) low-lying (ground) on the side of a river or lake, (a variant 塱) name of a place in Guangdong"
U+3660,㙠,"dust; dirt; a smear, (same as 曀) the sun hidden by clouds, obscure"
U+3661,㙡,a kind of edible mushroom
U+3662,㙢,(same as 墁 鏝) a trowel; a plaster; a trowel for plastering
U+3663,㙣,to pile a sand-hills
U+3664,㙤,"(same as 罅) a crack in earthenware, a split; rip or break apart; thus -- a grudge"
U+3665,㙥,muddy
U+3667,㙧,(same as 塯) earthenware; a kind of rice container
U+3668,㙨,(same as 畿) the royal domains set apart in ancient times for the emperor
U+3669,㙩,an enclosing wall
U+366A,㙪,"dark; the sun hidden by clouds, obscure"
U+366B,㙫,a fountain or spring out from the underground
U+366C,㙬,a bank; a boundary
U+366E,㙮,"a tower, pagoda"
U+366F,㙯,"(same as 藝) skill, ability in handicraft, a craft, an art, a calling, a trade, an accomplishment"
U+3670,㙰,name of a place in ancient times
U+3671,㙱,earthenware used to bake cakes in Northern China
U+3672,㙲,(same as 壅) to stop up; to obstruct
U+3673,㙳,"ruggedness of the road; difficulties of the way; bad luck, unable to reach one's aim"
U+3674,㙴,"to conceal; to hide, to shade; to darken"
U+3675,㙵,"(ancient form of 臺) a lookout, a tower, a terrace, a platform; a stage"
U+3676,㙶,"(large seal type of 堂) a hall; a reception room; a meeting-place, a court of justice"
U+3677,㙷,"low-lying area, to accumulate soil; to store up soil"
U+3678,㙸,(non-classical form 墣) a clod of earth; a lump of earth; a lump
U+3679,㙹,"a damp; a marsh, (interchangeable 夢)"
U+367A,㙺,"(same as 逵 馗) cross-road; a thorough-fare; a center from which nine roads lead out, to accumulate soil, to store up soil"
U+367B,㙻,"(non-classical form of 廛) living space for one family in ancient times, ground allotted to a retainer, a shop; a market place"
U+367C,㙼,"(same as 壘) a military wall, a rampart, to pile up, a pile"
U+367E,㙾,(same as 嶨) hills with lots of big rocks
U+3680,㚀,"lofty, dangerous; critical, (same as 虧) to destroy; to injure; to damage"
U+3681,㚁,the long tail feathers which curl up; to elevate; to raise the head; warped; outstanding
U+3682,㚂,"dust; dirt, a cellar, a caverns"
U+3683,㚃,"to take a hint; a group of Chinese characters the construction of which suggests the meaning, the fate; good luck or bad are in the pot; don't expose; or leak out"
U+3685,㚅,"to worship of God, to praise; many; much"
U+3686,㚆,to do something in an old way; use the old method; to go to the old road
U+3687,㚇,"draw the feet up; to refuse to advance, to summarize; to gather; to collect, name of an old country, (same as 鍐) a headstall; ornament on a bridle; (Cant.) to jump up"
U+3689,㚉,"(corrupted form) to make a profit on sell and buy; the profit in business, (interchangeable 嬴) an overplus; gain; profit; abundance"
U+368A,㚊,"much; many; numerous, great; big; vast"
U+368B,㚋,"much; many; numerous, great; big; vast"
U+368C,㚌,(same as 夥) a band; a company; a partner; an assistant
U+368D,㚍,"much; many; numerous, to get more profit, to estimate more"
U+368F,㚏,"(corrupted form) to scatter; to disperse, to give the reins to; to allow to run wild; unstable; light; featherbrained"
U+3690,㚐,"(same as 套) a case; a wrapper; a covering; a snare, to encase; to slip over"
U+3692,㚒,concealed the stolen goods in one's dress
U+3693,㚓,tie-beams of a small boat
U+3694,㚔,"instrument of torture used in ancient times, loud, an evil doer all the times, (same as 幸) to rejoice, fortunate; prosperous"
U+3695,㚕,"great; big; vast, (same as 弼) to aid; to assist; as in the government, (interchangeable 佛) Buddha"
U+3696,㚖,"(said of truth) to come out to the open; to be known by all, (ancient form 澤) glossy; shining"
U+3697,㚗,"with a big mouth, great; big; vast"
U+3698,㚘,"(interchangeable 伴) a partner; a companion, (same as 赫) bright; luminous, glorious (same as 扶) to support; to prop up; to help"
U+369A,㚚,"big; great; vast, very, liberal, bark (as a dog)"
U+369B,㚛,"corpulent, abundant; flourishing; plenteous"
U+369C,㚜,"with great power; vigorous; very strong; with great force, (same as 域) a frontier; a boundary; region, great; big; vast"
U+369D,㚝,"(same as 奎) the stride made by a man, name of a star, a kind of tree"
U+369E,㚞,terror; horror; fear
U+369F,㚟,"(non-classical form) a kind of animal; with head looks like rabbit and feet deer, small rabbit"
U+36A0,㚠,"full grown; fat; plump, fertile; rich, big and clumsy"
U+36A1,㚡,standing without a straight back
U+36A2,㚢,"(ancient form of 奴) a slave; a servant, term of depreciation, (ancient form of 侮) to insult; to ridicule"
U+36A3,㚣,"(ancient form of 姣 嬌) handsome; pretty, cunning, meretricious allurements, to insult; to disgrace, licentious; profligate; lewd; (Cant.) amorous, in love with"
U+36A4,㚤,a lady officer of the monarch's palace in old times
U+36A5,㚥,to become associated with each other in good manners and politeness
U+36A6,㚦,"(ancient form of 姬) a charming girl, a charming concubine; a monarch's wife"
U+36A7,㚧,"(same as 嬐) agile; adroit fast; quick; prompt, neat; tidy; orderly, to raise the head; to look up"
U+36A8,㚨,used in girl's name
U+36A9,㚩,"with a charming, sprightly appearance (said of a woman)"
U+36AA,㚪,"to make a deceptive show of power, not really strict"
U+36AB,㚫,"used in girl's name, a woman's countenance; features"
U+36AC,㚬,a lady start to doll up
U+36AD,㚭,used in girl's name
U+36AE,㚮,"(non-classical form 妉,媅) happy; pleased, to laugh"
U+36AF,㚯,(simplified form) last name
U+36B0,㚰,(same as 胚) an embryo; a foetus a month old
U+36B1,㚱,used in girl's name
U+36B2,㚲,"small and weak, used in girl's name, a woman's feature; lady's face"
U+36B3,㚳,a lady teacher to teach the proper rules of female behavior in ancient times
U+36B4,㚴,"a pretty girl; a beauty; a belle, handsome; female beauty"
U+36B5,㚵,used in girl's name
U+36B6,㚶,"(same as 姒) wife of one's husband's elder brother; (in ancient China) the elder of twins; a Chinese family name, (same as 姬) a handsome girl; a charming girl; a concubine; a Chinese family name"
U+36B7,㚷,"(same as 嬭) the breasts of a woman; milk; a term of respect for women; grandma, one's elder sister or sisters, used for a girl's name"
U+36B8,㚸,used in girl's name
U+36B9,㚹,"(same as 媌) pretty; charming girl, (same as 懰) exquisite; fine"
U+36BA,㚺,(non-classical form of 孕) to be pregnant; to conceive
U+36BB,㚻,sodomy; to bugger
U+36BC,㚼,(non-classical form of 妞) a girl; a little girl
U+36BD,㚽,used in girl's name
U+36BE,㚾,to have fun; to sport; to play; to frolic
U+36BF,㚿,"a goddess's name in legend; the sister and successor of Fu Xi 伏羲, (interchangeable 庖), last name"
U+36C1,㛁,"quick; urgent; anxious, loyal sincere and respectful"
U+36C2,㛂,weak and small
U+36C3,㛃,"clean; pure; clear, usually used for names"
U+36C4,㛄,used in girl's name
U+36C5,㛅,used in girl's name
U+36C6,㛆,"to speculate; to conjecture; to assume; to make an intelligent guess; to fathom, (of a woman) beautiful, used in girl's name"
U+36CA,㛊,"to speculate; to conjecture; to assume; to make an intelligent guess; to fathom, (of a woman) beautiful, used in girl's name"
U+36CD,㛍,"to have one's ambition fulfilled; to be successful in one's career; (same as 愜) pleasing; satisfying; to gratify or be gratified, undignified; improper"
U+36CE,㛎,an ugly woman
U+36CF,㛏,used in girl's name
U+36D0,㛐,(non-classical form of 嫂) wife of one's elder's brother
U+36D1,㛑,"three women, beautiful things"
U+36D2,㛒,can not speak
U+36D3,㛓,used in girl's name
U+36D4,㛔,"(same as 妦) exquisite; fine; (said of a woman's figure) very full and voluptuous; buxom, used in girl's name"
U+36D5,㛕,"womanly, (same as 姶 ancient form) exquisite; fine, used in girl's name, clever; bright; nimble, cute; lovable"
U+36D6,㛖,used in girl's name
U+36D7,㛗,"frivolous; flippant; disrespectful; irreverent; to insult, young, used in girl's name"
U+36D8,㛘,"used in girl's name, a fat woman"
U+36D9,㛙,"used in girl's name, (same as 妾) a concubine, (in old China) a polite term used by a woman to refer to herself when speaking to her husband"
U+36DA,㛚,"equal; uniform, used in girl's name"
U+36DB,㛛,"(same as 娠) pregnant, to let develop; to nourish; to foster; to nurture, slave girls"
U+36DC,㛜,used in girl's name
U+36DD,㛝,used in girl's name
U+36DE,㛞,used in girl's name
U+36E3,㛣,"(the large seal type 妘) last name, used in girl's name"
U+36E5,㛥,"to prostrate; to make obeisance, to concede or submit willingly"
U+36E6,㛦,good; nice; fine; excellent
U+36E7,㛧,name of a county in today's Shanxi province
U+36E8,㛨,(corrupted form) chaos; anarchy; distractions; confusion
U+36E9,㛩,(same as 妯) sisters-in-law (a reference among wives of brothers)
U+36EA,㛪,"to slander; to libel, a maidservant, used in girl's name, womanly"
U+36EB,㛫,used in girl's name
U+36EC,㛬,used in girl's name
U+36ED,㛭,used in girl's name
U+36EE,㛮,(same as 嫂) wife of one's elder brother
U+36EF,㛯,"(same as 嬔) to soar; to fly; to roam (same as 娩) complaisant; agreeable, a pair; a couple; persons or things that come in pairs"
U+36F0,㛰,(same as 婚) to marry a wife; a bride-groom
U+36F1,㛱,"exquisite; fine, used in girl's name"
U+36F2,㛲,"(same as 髮) the hair on the human head, hairbreadth; hair's-breadth"
U+36F3,㛳,an abnormal unborn baby
U+36F4,㛴,(same as 惱) to anger to annoy; to irritate
U+36F5,㛵,used in girl's name
U+36F6,㛶,do not care about appearance and deportment
U+36F7,㛷,used in girl's name
U+36F8,㛸,(corrupted form) used in girl's name
U+36F9,㛹,pretty; exquisite; fine
U+36FA,㛺,not clean; impure
U+36FB,㛻,womanly; feminine
U+36FC,㛼,"to interrupt; to put in a word, lacking in courage; cowardly, nervous; socially timid, womanly; feminine"
U+36FD,㛽,"(ancient form of 璈) to walk slowly like a woman, to ridicule; to laugh at"
U+36FE,㛾,(said of a woman) not clean; impure
U+36FF,㛿,"cunning; wicked, spoiled; coddled"
U+3702,㜂,used in girl's name
U+3703,㜃,"from; by; whence, to undertake; to manage, to follow"
U+3704,㜄,last name (refer to 千家姓)
U+3705,㜅,"to fawn on; to flatter, to love, attractive, jealous; envy; jealousy"
U+3706,㜆,commonly known as mother in Wu
U+3707,㜇,"unhappy, girlish"
